group_name,company_name,debut_date,fandom_name,image_path
LE SSERAFIM,HYBE,2022-05-02,FEARNOT,images\groups\le_sserafim.png
ILLIT,HYBE,2024-03-25,GLLIT,images\groups\illit.png
NewJeans,HYBE,2022-07-22,Bunnies,images\groups\newjeans.jpg
BLACKPINK,YG Entertainment,2016-08-08,BLINK,images\groups\blackpink.jpg
BABYMONSTER,YG Entertainment,2023-11-27,MONSTIEZ,images\groups\babymonster.jpg
Twice,JYPE,2015-10-20,Once,images\groups\twice.jpg
ITZY,JYPE,2019-02-12,MIDZY,images\groups\itzy.png
NMIXX,JYPE,2022-02-22,NSWER,images\groups\NMIXX.jpg
Girl's Generation,SM,2007-08-02,So One,images\groups\girls_generation.jpg
Red Velvet,SM,2014-08-01,러비,images\groups\red_velvet.jpg
aespa,SM,2020-11-17,MY,images\groups\aespa.png
Hearts2Hearts,SM,2025-02-24,S2U,images\groups\h2h.jpg
TAEYEON,SM,2015-10-07,So One,images\groups\taeyeon.jpeg
IVE,STARSHIP,2021-12-01,DIVE,images\groups\ive.jpg
KiiiKiii,STARSHIP,2025-03-24,TiiiKiii,images\groups\kiiikiii.jpeg
MEOVV,THEBLACKLABEL,2024-09-06,PAWMPAWM,images\groups\meovv.jpg
ALLDAY PROJECT,THEBLACKLABEL,2025-06-23,DAY ONE,images\groups\allday_project.jpeg
