group_name,stage_name,nationality_code
LE SSERAFIM,Sakura,JP
LE SSERAFIM,Chaewon,KR
LE SSERAFIM,Yunjin,KR
LE SSERAFIM,Yunjin,US
LE SSERAFIM,Kazuha,JP
LE SSERAFIM,Eunchae,KR
ILLIT,Yunah,KR
ILLIT,Minju,KR
ILLIT,Moka,JP
ILLIT,Wonhee,KR
ILLIT,Iroha,JP
NewJeans,Minji,KR
NewJeans,Hanni,AU
NewJeans,Hanni,VN
NewJeans,Danielle,AU
NewJeans,Danielle,KR
NewJeans,Haerin,KR
NewJeans,Hyein,KR
Twice,NAYEON,KR
Twice,JEONGYEON,KR
Twice,MOMO,JP
Twice,SANA,JP
Twice,JIHYO,KR
Twice,MINA,JP
Twice,DAHYUN,KR
Twice,CHAEYOUNG,KR
Twice,TZUYU,TW
ITZY,Yeji,KR
ITZY,Lia,KR
ITZY,Ryujin,KR
ITZY,Chaeryeong,KR
ITZY,Yuna,KR
