group_name,release_name,release_type,release_lang,release_date
LE SSERAFIM,UNFORGIVEN,ALBUM,KR,2023-05-01
LE SSERAFIM,FEARLESS,EP,KR,2022-05-02
LE SSERAFIM,ANTIFRAGILE,EP,KR,2022-10-17
LE SSERAFIM,EASY,EP,KR,2024-02-19
LE SSERAFIM,CRAZY,EP,KR,2024-08-30
LE SSERAFIM,HOT,EP,KR,2025-03-14
LE SSERAFIM,SPAGHETTI,SINGLE_ALBUM,KR,2025-10-24
LE SSERAFIM,DIFFERENT,SINGLE,JP,2025-06-24
LE SSERAFIM,Perfect Night,SINGLE,EN,2023-10-27
Twice,The Story Begins,EP,KR,2015-10-20
Twice,Page Two,EP,KR,2016-04-25
Twice,TWICEcoaster: Lane 1,EP,KR,2016-10-24
Twice,TWICEcoaster: Lane 2,EP,KR,2017-02-20
Twice,Signal,EP,KR,2017-05-15
Twice,Twicetagram,ALBUM,KR,2017-10-30
Twice,What Is Love?,EP,KR,2018-04-09
Twice,YES or YES,EP,KR,2018-11-05
Twice,Fancy You,EP,KR,2019-04-22
Twice,Feel Special,EP,KR,2019-09-23
Twice,More & More,EP,KR,2020-06-01
Twice,Eyes Wide Open,ALBUM,KR,2020-10-26
Twice,Taste of Love,EP,KR,2021-06-11
Twice,Formula of Love: O+T=<3,ALBUM,KR,2021-11-12
Twice,Between 1&2,EP,KR,2022-08-26
Twice,Ready to Be,EP,KR,2023-03-10
Twice,With YOU-th,EP,KR,2024-02-23
Twice,Strategy,EP,KR,2024-12-06
Twice,This Is For,ALBUM,KR,2025-07-11
Twice,Ten: The Story Goes On,ALBUM,KR,2025-10-10
Twice,BDZ,ALBUM,JP,2018-09-12
Twice,&TWICE,ALBUM,JP,2019-11-20
Twice,Perfect World,ALBUM,JP,2021-07-28
Twice,Celebrate,ALBUM,JP,2022-07-27
Twice,DIVE,ALBUM,JP,2024-07-17s
Twice,ENEMY,ALBUM,JP,2025-08-27
Twice,#Twice5,SINGLE_ALBUM,JP,2025-05-14
Twice,One More Time,SINGLE_ALBUM,JP,2017-10-18
Twice,Candy Pop,SINGLE_ALBUM,JP,2018-02-07
Twice,Wake Me Up,SINGLE_ALBUM,JP,2018-05-16
Twice,HAPPY HAPPY,SINGLE_ALBUM,JP,2019-07-17
Twice,Breakthrough,SINGLE_ALBUM,JP,2019-07-24
Twice,Fanfare,SINGLE_ALBUM,JP,2020-07-08
Twice,BETTER,SINGLE_ALBUM,JP,2020-11-18
Twice,Kura Kura,SINGLE_ALBUM,JP,2021-05-12
Twice,Doughnut,SINGLE_ALBUM,JP,2021-12-15
Twice,Hare Hare,SINGLE_ALBUM,JP,2023-05-31
Twice,I GOT YOU,SINGLE_ALBUM,EN,2024-02-02
TAEYEON,I,EP,KR,2015-10-07
TAEYEON,Rain,SINGLE,KR,2016-02-03
TAEYEON,WHY,EP,KR,2016-06-28
TAEYEON,This Christmas Winter Is Coming,EP,KR,2016-12-13
TAEYEON,My Voice,ALBUM,KR,2017-02-28
TAEYEON,Make Me Love You,SINGLE,KR,2017-02-28
TAEYEON,My Voice (Deluxe),ALBUM,KR,2017-04-05
TAEYEON,Something New,EP,KR,2018-06-18
TAEYEON,Voice,ALBUM,JP,2019-06-05
TAEYEON,Four Seasons,SINGLE,KR,2019-03-24
TAEYEON,Purpose,ALBUM,KR,2019-10-28
TAEYEON,Purpose The Repackage,ALBUM,KR,2020-01-15
TAEYEON,Happy,SINGLE,KR,2020-05-04
TAEYEON,What Do I Call You,EP,KR,2020-12-15
TAEYEON,INVU,ALBUM,KR,2022-02-14
TAEYEON,Can't Control Myself,SINGLE,KR,2022-01-17
TAEYEON,SET ME FREE,SINGLE,KR,2023-04-24
TAEYEON,To.X,EP,KR,2023-11-27
TAEYEON,Letter to myself,EP,KR,2024-11-18
TAEYEON,Panorama,ALBUM,KR,2025-12-01
