group_name,release_name,release_type,release_lang,title,youtube_url
LE SSERAFIM,FEARLESS,EP,KR,FEARLESS,"https://youtu.be/4vbDFu0PUew?si=PssUfxI6RMwYY4G2"
LE SSERAFIM,ANTIFRAGILE,EP,KR,ANTIFRAGILE,"https://youtu.be/pyf8cbqyfPs?si=lEj6RwDQiX7zFqTt"
LE SSERAFIM,ANTIFRAGILE,EP,KR,Impurities,"https://youtu.be/Ccz123Jlflc?si=XJkHNrv7mXaiq4G1"
LE SSERAFIM,UNFORGIVEN,ALBUM,KR,UNFORGIVEN,"https://youtu.be/UBURTj20HXI?si=ERwGGF1TuJW5UZpA"
LE SSERAFIM,UNFORGIVEN,ALBUM,KR,"Eve, Psyche & The Bluebeard's wife","https://youtu.be/dZs_cLHfnNA?si=f_Qio4tqIetpZeCk"
LE SSERAFIM,Perfect Night,SINGLE,EN,Perfect Night,"https://youtu.be/hLvWy2b857I?si=Iu-bfoj-D9GoAfkb"
LE SSERAFIM,EASY,EP,KR,EASY,"https://youtu.be/bNKXxwOQYB8?si=ior2XEikoIrsVN7A"
LE SSERAFIM,EASY,EP,KR,SMART,"https://youtu.be/KNexS61fjus?si=rPXnWos1dZ2egX1x"
LE SSERAFIM,CRAZY,EP,KR,CRAZY,"https://youtu.be/n6B5gQXlB-0?si=M9zY-hhyl1QgjVZG"
LE SSERAFIM,HOT,EP,KR,HOT,"https://youtu.be/r9AEGPB6qIU?si=FJHKG1l-7zq4I_c3"
LE SSERAFIM,HOT,EP,KR,Come Over,"https://youtu.be/z_uqieM8VGM?si=PyYsOWIo5g-M50ah"
LE SSERAFIM,DIFFERENT,SINGLE,JP,DIFFERENT,"https://youtu.be/HFZUAXhdnHk?si=pcGRl0wa32IbOrCI"
LE SSERAFIM,SPAGHETTI,SINGLE_ALBUM,KR,SPAGHETTI,"https://youtu.be/TvVtYaqCni8?si=B_k4DYrNZVNqSq8o"
TAEYEON,I,EP,KR,I,"https://youtu.be/4OrCA1OInoo?si=sUn1jQCv1-1DK568"
TAEYEON,Rain,SINGLE,KR,Rain,"https://youtu.be/eHir_vB1RUI?si=LXs0lyIpdJLHnrrr"
TAEYEON,WHY,EP,KR,Why,"https://youtu.be/WkdtmT8A2iY?si=A2WWMo9WB_FKjR8H"
TAEYEON,My Voice (Deluxe),ALBUM,KR,Time Lapse,"https://youtu.be/qDW-sVVtTGk?si=s4ojwXyXKMqC_U7V"
TAEYEON,Something New,EP,KR,Something New,"https://youtu.be/im1UUY8dQIk?si=asA2lqSI7RfUYs3i"
TAEYEON,Make Me Love You,SINGLE,KR,Make Me Love You,"https://youtu.be/TVUqLBRQom8?si=Ip2eK1ABkmlq-Pi-"
TAEYEON,Purpose,ALBUM,KR,Dear Me,"https://youtu.be/o25nLWpDHfc?si=wQRVtxF47KxAdFQq"
TAEYEON,What Do I Call You,EP,KR,What Do I Call You,"https://youtu.be/5LbFdY6vGsQ?si=_2Jz37-jVoVjhhz1"
TAEYEON,INVU,ALBUM,KR,INVU,"https://youtu.be/AbZH7XWDW_k?si=IHuHdlp3bYbi4woP"
TAEYEON,Can't Control Myself,SINGLE,KR,Can't Control Myself,"https://youtu.be/RccDIpx4ZMM?si=8QL1-jFLKPwTMPuz"
TAEYEON,To.X,EP,KR,To.X,"https://youtu.be/5_n6t9G2TUQ?si=-1jEUqhKy0LN9Yfg"
TAEYEON,Letter to myself,EP,KR,Letter to myself,"https://youtu.be/wqN1vLPX-no?si=iie1ZCPx76MSs2MS"
TAEYEON,Panorama,ALBUM,KR,Panorama,"https://youtu.be/xGhaNqnjgr4?si=D0RbzvlCDc_Oz4_e"
